epoch,PR-AUC,ROC-AUC,accuracy,loss,lr,val_PR-AUC,val_ROC-AUC,val_accuracy,val_loss
0,0.7621196508407593,0.8751366138458252,0.7269418835639954,0.6847773790359497,0.001,0.842154324054718,0.9138804078102112,0.789381206035614,0.6063063144683838
1,0.8347909450531006,0.9084270596504211,0.7693079710006714,0.5784968733787537,0.001,0.5532118678092957,0.7632396817207336,0.546180009841919,0.9230280518531799
2,0.8815798759460449,0.9328120350837708,0.8090775012969971,0.497026652097702,0.001,0.9366481304168701,0.9639392495155334,0.8744526505470276,0.3715803027153015
3,0.912087619304657,0.9499940872192383,0.8390300869941711,0.42828139662742615,0.001,0.7011550664901733,0.837425947189331,0.6825881600379944,0.8032287359237671
4,0.930544376373291,0.9605523943901062,0.8582391142845154,0.37932851910591125,0.001,0.9584300518035889,0.9761940836906433,0.8967792391777039,0.29080840945243835
5,0.9416127800941467,0.9670989513397217,0.8721005320549011,0.34454160928726196,0.001,0.9526373147964478,0.9733927249908447,0.8912191987037659,0.30714544653892517
6,0.9494027495384216,0.9716447591781616,0.8822649121284485,0.31861263513565063,0.001,0.926718533039093,0.9599271416664124,0.8514346480369568,0.38060489296913147
7,0.9671460390090942,0.9816710352897644,0.9091768860816956,0.2531934380531311,0.000100000005,0.9782087802886963,0.9878846406936646,0.9311477541923523,0.20157036185264587
8,0.9710990190505981,0.9839560985565186,0.9144279956817627,0.23577333986759186,0.000100000005,0.9762299656867981,0.9868610501289368,0.9264231324195862,0.21062596142292023
9,0.9730839729309082,0.9851164221763611,0.9186945557594299,0.22612056136131287,0.000100000005,0.980492353439331,0.9890230298042297,0.93739914894104,0.1873045712709427
10,0.9747609496116638,0.9861167073249817,0.9221405982971191,0.21741296350955963,0.000100000005,0.9816586971282959,0.9898545742034912,0.9374567866325378,0.18204514682292938
11,0.9763507843017578,0.9869716763496399,0.9245441555976868,0.2104673534631729,0.000100000005,0.9829250574111938,0.9905315041542053,0.9420085549354553,0.17347221076488495
12,0.9774686098098755,0.987632155418396,0.926831841468811,0.2038813829421997,0.000100000005,0.9711521863937378,0.9842225313186646,0.914381206035614,0.23360714316368103
13,0.9787578582763672,0.9883131980895996,0.9293898344039917,0.19760280847549438,0.000100000005,0.9790762662887573,0.9885169863700867,0.9314934611320496,0.19655904173851013
14,0.9807673692703247,0.9894782900810242,0.9343706965446472,0.1863241195678711,1.0000001e-05,0.9834729433059692,0.9908651113510132,0.9397902488708496,0.17144083976745605
15,0.9816121459007263,0.9899294972419739,0.9352104663848877,0.18204306066036224,1.0000001e-05,0.9835160374641418,0.9909408688545227,0.9405969381332397,0.17045879364013672
16,0.9818891882896423,0.9901187419891357,0.9353745579719543,0.18092626333236694,1.0000001e-05,0.9827926754951477,0.9905009269714355,0.938321053981781,0.1753975749015808
17,0.9820688962936401,0.9902245998382568,0.9366294145584106,0.17864426970481873,1.0000001e-05,0.9833128452301025,0.9908064603805542,0.9391276836395264,0.17221227288246155
18,0.9820187091827393,0.9901639819145203,0.9369673132896423,0.17898514866828918,1e-05,0.9837183952331543,0.9910717010498047,0.9414611458778381,0.16899792850017548
19,0.9822162985801697,0.9903184175491333,0.937391996383667,0.1777873933315277,1e-05,0.9833964109420776,0.9908431768417358,0.9398190975189209,0.17170526087284088
